np_ave=174762
used mem size for tree=347881952
used mem size for tree(0)=0.347881952
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +1.130104e-04 +6.008148e-05 +8.712053e-03 +4.450488e-02 +3.827119e-02 +3.085382e-01 +4.460096e-03 +6.780863e-03 +2.460957e-03 +0.000000e+00 +3.868818e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.634090e-03 +4.444766e-02 +3.809905e-02 +3.088949e-01 +4.461050e-03 +6.768942e-03 +2.462149e-03 +0.000000e+00 +3.784895e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.505821e-03 +4.431105e-02 +3.809094e-02 +3.086412e-01 +4.425764e-03 +6.744862e-03 +2.451181e-03 +0.000000e+00 +3.831148e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.721113e-03 +4.438400e-02 +3.794098e-02 +3.085840e-01 +4.461050e-03 +6.782055e-03 +2.377987e-03 +0.000000e+00 +3.919125e-03 +0.000000e+00
 +3.504753e-05 +5.602837e-05 +8.610964e-03 +4.417610e-02 +3.801799e-02 +3.085320e-01 +4.473925e-03 +6.813049e-03 +2.496958e-03 +0.000000e+00 +4.059792e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.841038e-03 +4.436588e-02 +3.819704e-02 +3.085918e-01 +4.429102e-03 +6.832123e-03 +2.450943e-03 +0.000000e+00 +3.904819e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.594036e-03 +4.439974e-02 +3.806996e-02 +3.085959e-01 +4.448891e-03 +6.766796e-03 +2.587080e-03 +0.000000e+00 +3.762007e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.645773e-03 +4.424787e-02 +3.802204e-02 +3.086870e-01 +4.487038e-03 +6.712914e-03 +2.558947e-03 +0.000000e+00 +3.885984e-03 +0.000000e+00
 +1.339912e-04 +5.292892e-05 +8.877993e-03 +4.435992e-02 +3.832102e-02 +3.093801e-01 +4.445076e-03 +6.832123e-03 +2.389908e-03 +0.000000e+00 +3.849983e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.662939e-03 +4.424906e-02 +3.843498e-02 +3.093610e-01 +4.508018e-03 +6.793976e-03 +2.398014e-03 +0.000000e+00 +3.607988e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.553982e-03 +4.439878e-02 +3.841209e-02 +3.092580e-01 +4.519939e-03 +6.811857e-03 +2.358913e-03 +0.000000e+00 +3.692150e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.789062e-03 +4.437900e-02 +3.837180e-02 +3.094399e-01 +4.496098e-03 +6.816149e-03 +2.381086e-03 +0.000000e+00 +3.684998e-03 +0.000000e+00
 +1.320839e-04 +5.102158e-05 +9.037018e-03 +4.408693e-02 +3.777623e-02 +3.060100e-01 +4.330158e-03 +6.357908e-03 +2.356052e-03 +0.000000e+00 +4.126072e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.796930e-03 +4.396009e-02 +3.772020e-02 +3.055871e-01 +4.292011e-03 +6.417036e-03 +2.354145e-03 +0.000000e+00 +4.225016e-03 +0.000000e+00
