np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +0.000000e+00 +0.000000e+00 +1.268005e-02 +2.657986e-02 +3.472281e-02 +1.744409e-01 +1.651049e-03 +4.081011e-03 +2.712965e-03 +0.000000e+00 +1.305819e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.293898e-02 +2.620006e-02 +3.474593e-02 +1.749759e-01 +1.660109e-03 +3.726959e-03 +3.087997e-03 +0.000000e+00 +1.346183e-02 +0.000000e+00
 +4.320145e-04 +5.215883e-03 +1.606297e-02 +2.693081e-02 +3.516698e-02 +1.754231e-01 +1.691818e-03 +3.692150e-03 +2.757072e-03 +0.000000e+00 +1.336694e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.329589e-02 +2.608490e-02 +3.477693e-02 +1.743290e-01 +2.034187e-03 +4.064083e-03 +2.756119e-03 +0.000000e+00 +1.370192e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.344991e-02 +2.637196e-02 +3.552485e-02 +1.751022e-01 +1.637936e-03 +3.675938e-03 +2.745867e-03 +0.000000e+00 +1.429200e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.306581e-02 +2.634215e-02 +3.485227e-02 +1.746650e-01 +1.635075e-03 +4.038095e-03 +2.761126e-03 +0.000000e+00 +1.365209e-02 +0.000000e+00
 +6.999969e-04 +5.229950e-03 +1.560998e-02 +2.657890e-02 +3.528500e-02 +1.747370e-01 +1.666784e-03 +3.751040e-03 +2.760172e-03 +0.000000e+00 +1.395702e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.307392e-02 +2.620387e-02 +3.477526e-02 +1.742089e-01 +1.668930e-03 +3.708124e-03 +3.112793e-03 +0.000000e+00 +1.339293e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.360083e-02 +2.652502e-02 +3.483772e-02 +1.739750e-01 +1.670122e-03 +4.098892e-03 +2.762079e-03 +0.000000e+00 +1.290107e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.289392e-02 +2.650094e-02 +3.518605e-02 +1.743031e-01 +1.657009e-03 +3.723860e-03 +3.139019e-03 +0.000000e+00 +1.312590e-02 +0.000000e+00
